BagID,gate,DisplayName,DescriptionStore,Description,StartDate,EndDate,Repeat Weekly,Currency,Cost,ShowInStore,Stock,BagTexture,BagTextureOpen,BagTextureStore,Pulls,Pool,Item,Pool 2,Item 2,Pool 3,Item 3,Pool 4,Item 4,Pool 5,Item 5,OfferWeight,DescriptionText,BackgroundImage,ItemImages,ItemTexts,LayoutType,CombinationType,DiscountPercentage,OfferDisplayID,OfferSectionID
,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,NotANumber,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,-9999,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,NotANumber,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,-9999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
ID_@#$%^&*,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
<script>alert(1)</script>,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,ID_@#$%^&*,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,<script>alert(1)</script>,
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,ID_@#$%^&*
Grabbag_Auto_1769054941,nov2025_wknd3,!!GRABBAG_NOV2025_WKND3_CHEST_NAME,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,!!GRABBAG_NOV2025_WKND3_CHEST_DESC,11/22/2025 04:00,11/25/2099 04:00,False,BagToken_Nov2025_Wknd3_Chest,1,0,999999,Grabbag_Chest_Premium_Closed_Nov2025_Wknd3,Grabbag_Chest_Premium_Opened_Nov2025_Wknd3,Grabbag_Chest_Premium_Store_Nov2025_Wknd3,'1:1,BagPool_Nov2025_Wknd3_Chest_Chase:1,Poster_SRollins_Visionary_3Star_Bronze:1:5,BagPool_Nov2025_Wknd3_Chest_CSS:4999,Shard_Walter_King:10:100;Shard_DMcIntyre_Chosen:10:100;Shard_Penta_CeroMiedo:10:100;Shard_XWoods_World:10:100;Shard_KBWare_Birdman:10:100;Shard_JeyUso_Yeet:10:100;Shard_RReigns_OTC:10:100;Shard_BBreakker_NXT:10:100;Shard_KofiKingston_World:10:100;Shard_Muta_Pearl:10:100;Shard_CPunk_Underdog:10:100;Shard_Ax_Demolition:10:100;Shard_SRollins_Freakin:10:100,,,,,,,,,,,,,,50,,<script>alert(1)</script>
